,ambition1,confidence1,patience1,kindness1,creativity1,resposibility1,optimism1,courage1,modesty1,perseverance1,ambition2,confidence2,patience2,kindness2,creativity2,resposibility2,optimism2,courage2,modesty2,perseverance2,match
164,0.42,0.53,0.72,0.62,0.12,0.58,0.52,0.29,0.04,0.15,0.05,0.14,0.2,0.42,0.44,0.32,0.39,0.03,0.92,0.93,0
165,0.87,0.18,0.94,0.25,0.93,0.94,0.67,0.58,0.54,0.54,0.85,0.49,0.7,0.08,0.23,0.85,0.1,0.77,0.38,0.74,1
166,0.69,0.81,0.78,0.12,0.84,0.61,0.88,0.4,0.32,0.37,0.41,0.99,0.3,0.02,0.9,0.11,0.93,0.84,0.35,0.42,1
167,0.51,0.19,0.74,0.71,1.0,1.0,0.91,0.23,0.85,0.22,0.32,0.23,0.62,0.72,0.59,0.11,0.88,0.18,0.17,0.81,0
168,0.54,0.3,0.66,0.48,0.48,0.91,0.57,0.82,0.67,0.1,0.42,0.41,0.0,0.67,0.15,0.32,0.22,0.41,0.49,0.67,0
169,0.49,0.76,0.94,0.11,0.06,0.98,0.74,0.61,0.64,0.23,0.08,0.03,0.73,0.71,0.37,0.5,0.01,0.92,0.76,0.81,0
170,0.61,0.69,0.62,0.62,0.82,0.86,0.12,0.67,0.59,0.68,0.26,0.96,0.58,0.86,0.3,0.1,0.21,0.06,0.6,0.29,0
171,0.34,0.62,0.13,0.11,0.04,0.56,0.86,0.36,0.91,0.83,0.21,0.26,0.43,0.96,0.61,0.86,0.5,0.66,0.27,0.11,0
172,1.0,0.69,0.15,0.59,0.71,0.05,0.6,0.29,0.03,0.65,0.03,0.78,0.58,0.61,0.89,0.32,0.23,0.92,0.91,0.66,0
173,0.76,0.09,0.97,0.38,0.84,0.3,0.95,0.5,0.18,0.0,0.18,0.21,0.14,0.59,0.24,0.18,0.27,0.66,0.06,0.98,0
174,0.81,0.01,0.79,0.17,0.44,0.15,0.34,0.23,0.42,0.31,0.11,0.09,0.29,0.28,0.57,0.66,0.2,0.79,0.05,0.02,0
175,0.8,0.58,0.57,0.18,0.59,0.96,0.07,0.32,0.12,0.8,0.76,0.93,0.04,0.26,0.41,0.39,0.91,0.97,0.4,0.16,0
176,0.73,0.64,0.0,0.55,0.91,0.4,0.25,0.36,0.14,0.97,0.73,0.67,0.5,0.23,0.57,0.12,0.13,0.81,0.47,0.36,1
177,0.88,0.41,0.12,0.53,0.55,0.82,0.66,0.7,0.66,0.28,0.54,0.17,0.43,0.46,0.92,0.06,0.45,0.95,0.9,0.8,1
178,0.7,0.81,0.75,0.79,0.47,0.61,0.0,0.37,0.39,0.31,0.62,0.73,0.92,0.75,0.26,0.19,0.05,0.4,0.68,0.83,1
179,0.25,0.36,0.0,0.04,0.15,0.8,0.24,0.01,0.57,0.96,0.01,0.39,0.52,0.45,0.07,0.1,0.39,0.37,0.94,0.71,1
180,0.54,0.6,0.34,1.0,0.32,0.8,0.84,0.43,0.95,0.33,0.35,0.77,0.57,0.27,0.12,0.51,0.99,0.31,0.47,0.64,1
181,0.34,0.51,0.87,0.98,0.77,0.66,0.9,0.58,0.45,0.15,0.25,0.27,0.46,0.37,0.66,0.16,0.88,0.02,0.05,0.83,0
182,0.99,0.28,0.09,0.02,0.36,0.38,0.76,0.76,0.38,0.69,0.61,0.55,0.37,0.93,0.84,0.26,0.46,0.6,0.44,0.11,1
183,0.66,0.87,0.3,0.2,0.11,0.79,0.31,0.14,0.02,0.67,0.47,0.22,0.13,0.77,0.49,0.39,0.4,0.32,0.67,0.46,0
184,0.98,0.68,0.08,0.82,0.64,0.45,0.75,0.29,0.75,0.85,0.01,0.87,0.84,0.15,0.82,0.81,0.16,0.51,1.0,0.04,0
185,0.83,0.62,0.76,0.62,0.58,0.01,0.65,0.8,0.26,0.07,0.35,0.26,0.02,0.81,0.55,0.32,1.0,0.16,0.72,0.76,0
186,0.88,0.87,0.86,0.91,0.55,0.62,0.55,0.08,0.12,0.07,0.33,0.29,0.05,0.35,0.82,0.86,0.86,0.96,0.17,0.42,0
187,0.89,0.51,0.81,0.82,0.98,0.46,0.26,0.24,0.41,0.37,0.88,0.82,0.59,0.47,0.79,0.23,0.95,0.39,0.31,0.44,1
188,0.79,0.14,0.69,0.63,0.53,0.11,0.1,0.34,0.12,0.17,0.39,0.2,0.38,0.05,0.96,0.1,0.51,0.25,0.0,0.31,1
189,0.92,0.93,0.82,0.36,0.49,0.91,0.94,0.01,0.63,0.38,0.29,0.75,0.08,0.46,0.66,0.75,0.23,0.42,0.91,0.92,0
190,0.41,0.61,0.58,0.43,0.42,0.8,0.88,0.04,0.83,0.12,0.24,0.46,0.96,0.22,0.57,0.73,0.55,0.54,0.92,0.52,1
191,0.32,0.85,0.83,0.98,0.28,0.1,0.44,0.47,0.16,0.07,0.2,0.61,0.82,0.62,0.85,0.73,0.53,0.55,0.03,0.34,1
192,0.45,0.98,0.36,0.05,0.11,0.41,0.54,0.56,0.17,0.57,0.03,0.62,0.44,0.63,0.59,0.19,0.13,0.75,0.88,0.52,1
193,0.92,0.12,0.67,0.8,0.34,0.2,0.63,0.12,0.26,0.44,0.55,0.98,0.94,0.62,0.18,0.78,0.69,0.03,0.8,0.42,0
194,0.98,0.4,0.11,0.55,0.53,0.6,0.25,0.35,0.15,0.6,0.61,0.85,0.87,0.86,0.95,0.88,0.83,0.8,0.58,0.35,1
195,0.82,0.64,0.8,0.87,0.04,0.81,0.56,0.97,0.89,0.43,0.12,0.87,0.34,0.42,0.03,0.87,0.76,0.6,0.73,0.85,1
196,0.96,0.51,0.69,0.74,1.0,0.14,0.42,0.83,0.52,0.21,0.03,0.91,0.09,0.31,0.53,0.31,0.29,0.16,0.59,0.38,0
197,0.14,0.01,0.67,0.66,0.95,0.3,0.13,0.11,0.25,0.3,0.14,0.42,0.15,0.57,0.04,0.54,0.7,0.49,0.81,0.96,0
198,0.64,0.55,0.92,0.29,0.87,0.9,0.32,0.36,0.73,0.88,0.4,0.94,0.14,0.91,0.09,0.51,0.35,0.84,0.48,0.14,0
199,0.64,0.3,1.0,0.78,0.07,0.52,0.62,0.08,0.22,0.61,0.47,0.91,0.94,0.27,0.3,0.81,0.11,0.07,0.38,0.64,0
200,0.96,0.1,0.28,0.34,0.63,0.55,0.42,0.31,0.43,0.21,0.43,0.05,0.18,0.48,0.03,0.83,0.13,0.95,0.65,0.84,0
201,0.94,0.39,0.27,0.79,0.92,0.99,0.81,0.37,1.0,0.0,0.9,0.27,0.3,0.83,0.11,0.72,0.66,0.29,0.3,0.44,1
202,0.92,0.25,0.91,0.34,0.61,0.44,0.39,0.22,0.87,0.54,0.64,0.98,0.59,0.89,0.12,0.48,0.66,0.26,0.38,0.1,1
203,0.7,0.18,0.9,0.47,0.17,0.06,1.0,0.68,0.86,0.99,0.68,0.86,0.83,0.82,0.19,0.78,0.42,0.31,0.99,0.33,0
204,0.81,0.61,0.29,0.1,0.82,0.05,0.46,0.0,1.0,0.91,0.22,0.41,0.74,0.85,0.93,0.8,0.16,0.68,0.62,0.2,0
205,0.95,0.99,0.78,0.48,0.09,0.68,0.44,0.94,0.87,0.69,0.68,0.46,0.7,0.14,0.13,0.3,0.93,0.77,0.13,0.79,1
206,0.92,0.08,0.07,0.25,0.81,0.89,0.12,0.13,0.94,0.16,0.2,0.2,0.38,0.36,0.88,0.74,0.12,0.98,0.74,0.94,0
207,0.95,0.82,0.46,0.84,0.49,0.51,0.07,0.84,0.27,0.43,0.81,0.93,0.95,0.87,0.26,0.6,0.86,0.7,0.96,0.18,1
208,0.24,0.43,0.21,0.88,0.46,0.23,0.33,0.41,0.02,0.66,0.01,0.22,0.38,0.54,0.63,0.15,0.9,0.02,0.3,0.42,1
209,0.91,0.55,0.53,0.14,0.46,0.15,0.02,0.55,0.22,0.94,0.18,0.79,0.23,0.34,0.43,0.29,0.86,0.29,0.5,0.88,1
210,0.06,0.37,0.04,0.63,0.54,0.76,0.01,0.2,0.06,0.96,0.0,0.66,0.12,0.34,0.81,0.83,0.12,0.9,0.79,0.11,0
211,0.95,0.43,0.66,0.89,0.01,1.0,0.77,0.1,0.27,0.69,0.85,0.42,0.86,0.99,0.41,0.49,0.65,0.95,0.32,0.68,1
212,0.65,0.4,0.2,0.32,0.89,0.97,0.52,0.28,0.34,0.1,0.36,0.69,0.65,0.33,0.26,0.54,0.82,0.39,0.57,0.94,1
213,0.51,0.72,0.44,0.9,0.22,0.1,0.93,0.93,0.69,0.16,0.19,0.35,0.42,0.12,0.68,0.9,0.33,0.7,0.77,0.39,0
214,0.86,0.47,0.58,0.16,0.1,0.88,0.59,0.3,0.12,0.21,0.42,0.26,0.74,0.42,0.65,0.81,0.93,0.51,0.51,0.47,1
215,0.57,0.2,0.35,0.03,0.69,0.94,0.23,0.65,0.22,0.07,0.3,0.12,0.46,0.26,0.84,0.5,0.86,0.02,0.45,0.6,0
216,0.64,0.56,0.11,0.14,0.88,0.0,0.12,0.57,0.31,0.83,0.62,0.01,0.92,0.81,0.67,0.87,0.5,0.2,0.37,0.89,0
217,0.93,0.53,0.21,0.86,0.02,0.33,0.78,0.16,0.21,0.64,0.02,0.75,0.41,0.09,0.38,0.86,0.11,0.52,0.04,0.14,0
218,0.99,0.52,0.36,0.14,0.47,0.9,0.72,0.56,0.12,0.9,0.04,0.08,0.31,0.61,0.17,0.83,0.57,0.5,0.5,0.79,1
219,0.97,0.71,0.52,0.25,0.99,0.57,0.92,0.22,0.67,0.33,0.5,0.08,0.31,0.03,0.34,0.12,0.02,0.88,0.31,0.91,0
220,0.85,0.11,0.38,0.63,0.84,0.47,0.54,0.06,0.02,0.48,0.67,0.09,0.6,0.59,0.68,0.39,0.56,0.65,0.51,0.04,1
221,0.52,0.01,0.49,0.33,0.93,0.33,0.58,0.46,0.51,0.98,0.06,0.59,0.38,0.77,0.04,1.0,0.2,0.7,0.34,0.95,0
222,0.78,0.79,0.66,0.15,0.71,0.38,0.31,0.26,0.22,0.18,0.76,0.3,0.16,0.02,0.69,0.93,0.58,0.69,0.46,0.34,1
223,0.61,0.56,0.49,0.67,0.07,0.99,0.13,0.5,0.06,0.12,0.51,0.96,0.95,0.93,0.11,0.06,0.62,0.34,0.34,0.88,1
224,0.97,0.38,0.45,0.83,0.98,0.48,0.26,0.59,0.62,0.32,0.06,0.54,0.48,0.48,0.3,0.98,0.11,0.58,0.92,0.91,0
225,0.83,0.76,0.9,0.63,0.35,0.03,0.74,0.28,0.69,0.42,0.26,0.26,0.74,0.27,0.49,0.08,0.97,0.64,0.85,0.41,1
226,0.47,0.06,0.9,0.76,0.76,0.95,0.14,0.2,0.82,0.13,0.46,0.78,0.55,0.78,0.99,0.21,0.28,0.99,0.69,0.1,0
227,0.98,0.72,0.2,0.08,0.28,0.75,0.6,0.39,0.72,0.04,0.42,0.54,0.73,0.69,0.87,0.33,0.45,0.4,0.92,0.7,0
228,0.71,0.76,0.72,0.17,0.7,0.48,0.66,0.35,0.02,0.55,0.32,0.67,0.45,0.44,0.42,0.04,0.19,0.71,0.18,0.9,1
229,0.41,0.8,0.27,0.39,1.0,0.3,0.4,0.04,0.73,0.64,0.32,0.5,0.46,0.03,0.83,0.52,0.0,0.5,0.06,0.94,1
230,0.48,0.21,0.59,0.27,0.31,0.46,0.62,0.73,0.66,0.4,0.12,0.76,0.02,0.7,0.27,0.22,0.19,0.7,0.66,0.91,0
231,0.45,0.85,0.64,0.96,0.74,0.04,0.87,0.1,0.92,0.54,0.32,0.08,0.06,0.8,0.61,0.55,1.0,0.9,0.31,0.11,0
232,0.82,0.09,0.59,0.17,0.81,0.51,0.35,0.41,0.88,0.93,0.42,0.69,0.23,0.12,0.04,0.44,0.41,0.51,1.0,0.66,1
233,0.84,0.24,0.09,0.75,0.0,0.13,0.88,0.54,0.01,0.7,0.76,0.66,0.99,0.14,0.18,0.16,0.09,0.76,0.58,0.65,0
234,0.35,0.74,0.23,0.59,0.66,0.91,0.24,0.25,0.72,0.54,0.17,0.11,0.14,0.35,0.89,0.43,0.15,0.45,0.35,0.38,1
235,0.68,0.89,0.34,0.94,0.85,0.27,0.53,0.88,0.25,0.04,0.03,0.27,0.03,0.02,0.91,0.43,0.31,0.98,0.76,0.51,0
236,0.69,0.22,0.21,0.87,0.91,0.41,0.05,0.19,0.11,0.72,0.36,0.94,0.98,0.53,0.41,0.8,0.73,0.31,0.72,0.33,0
237,0.89,0.88,0.71,0.02,0.48,0.71,0.94,0.02,0.88,0.19,0.63,0.96,0.78,0.04,0.1,0.85,0.86,0.62,0.27,0.17,1
238,0.41,0.12,0.48,0.14,0.49,0.7,0.91,0.55,0.2,0.55,0.02,0.26,0.32,0.33,0.91,0.82,0.88,0.05,0.89,0.65,1
239,0.3,0.67,0.6,0.47,0.59,0.74,0.92,0.25,0.12,0.47,0.09,0.91,0.52,0.01,0.16,0.69,0.9,0.89,0.03,0.59,1
240,0.9,0.79,0.53,0.99,0.33,0.31,0.26,0.78,0.64,0.13,0.35,0.24,0.81,1.0,0.39,0.92,0.79,0.2,0.52,0.62,0
241,0.21,0.28,0.55,0.88,0.07,0.58,0.87,0.19,0.19,0.24,0.04,0.33,0.83,0.67,0.59,0.17,0.29,0.99,0.21,0.01,0
242,0.9,0.47,0.32,0.51,0.38,0.64,0.73,0.35,0.98,0.03,0.36,0.39,0.4,0.34,0.78,0.39,0.78,0.91,0.04,0.07,0
243,0.88,0.85,0.59,0.11,0.39,0.88,0.76,0.94,0.05,0.75,0.42,0.69,0.76,0.03,0.11,0.04,0.58,0.36,0.46,0.31,1
244,0.42,0.73,0.54,0.37,0.96,0.42,0.44,0.7,0.07,0.07,0.39,0.48,1.0,0.24,0.4,0.89,0.86,0.5,0.68,0.13,1
245,0.83,0.2,0.52,0.37,0.85,0.92,0.59,0.83,0.08,0.75,0.19,0.17,0.63,0.12,0.41,0.02,0.32,0.73,0.97,0.78,0
246,0.87,0.21,0.68,0.94,0.5,0.12,0.21,0.94,0.36,0.34,0.62,0.23,0.3,0.12,0.72,0.51,0.92,0.2,0.8,0.18,0
247,0.55,0.82,0.32,0.57,0.19,0.54,0.76,0.81,0.13,0.24,0.3,0.96,0.27,0.15,0.62,0.59,0.82,0.07,0.49,0.9,1
248,0.5,0.97,0.97,0.87,0.97,0.98,0.58,0.48,0.26,0.49,0.19,0.0,0.41,0.92,0.61,0.55,0.94,0.02,0.04,0.67,1
249,0.85,0.36,0.67,0.39,0.83,0.25,0.82,0.81,0.67,0.41,0.38,0.58,0.43,0.75,0.74,0.31,0.78,0.48,0.96,0.93,1
250,0.95,0.21,0.7,0.16,0.07,0.27,0.51,0.3,0.36,0.97,0.76,0.63,0.92,0.37,0.57,0.51,0.28,0.08,0.71,0.06,1
251,0.39,0.4,0.2,0.71,0.71,0.05,0.92,0.59,0.29,0.61,0.23,0.69,0.72,0.4,0.27,0.32,0.19,0.33,0.77,0.4,1
252,0.67,0.71,0.49,0.62,0.61,0.63,0.4,0.2,0.41,0.07,0.06,0.55,0.9,0.75,0.85,0.95,0.76,0.71,0.02,0.5,1
253,0.29,0.58,0.23,0.18,0.15,0.8,0.27,0.2,0.79,0.54,0.0,0.34,0.6,0.8,0.13,0.53,0.19,0.89,0.93,0.81,1
254,0.86,0.1,0.15,0.39,0.57,0.63,0.05,0.88,0.93,0.86,0.83,0.77,0.41,0.66,0.57,0.53,0.8,0.75,0.0,0.94,0
255,0.96,0.26,0.54,0.92,0.49,0.26,0.76,0.23,0.35,0.36,0.5,0.67,0.26,0.52,0.46,0.73,0.67,0.34,0.12,0.95,1
256,0.85,0.56,0.51,0.83,0.5,0.75,0.24,0.38,0.85,0.27,0.03,0.13,0.43,0.87,0.46,0.13,0.61,0.06,0.22,0.71,0
257,0.58,0.58,0.9,0.59,0.39,0.32,0.05,0.3,0.16,0.29,0.08,0.48,0.35,0.91,0.58,0.09,0.24,0.5,0.56,0.3,1
258,0.89,0.75,0.99,0.47,0.38,0.87,0.35,0.29,0.61,0.99,0.1,0.85,0.52,0.1,0.87,0.04,0.35,0.18,0.8,0.7,1
259,0.3,0.13,0.1,0.21,0.96,0.88,0.52,0.95,0.71,0.8,0.17,0.07,0.41,0.55,0.97,0.38,0.3,0.79,0.42,0.47,1
260,0.32,0.56,0.15,0.19,0.0,0.84,0.08,0.21,0.11,0.41,0.24,0.08,0.36,0.31,0.91,0.15,0.49,0.68,0.13,0.83,1
261,0.94,0.9,0.91,0.91,0.99,0.45,0.32,0.95,0.05,0.42,0.72,0.3,0.08,0.38,0.44,0.68,0.73,0.27,0.58,0.5,0
262,0.92,0.78,0.47,0.31,0.12,0.97,0.76,0.78,0.18,0.42,0.21,0.53,0.96,0.7,0.75,0.83,0.24,0.79,0.3,0.74,0
263,0.99,0.68,0.68,0.21,0.23,0.46,0.33,0.87,0.35,0.5,0.51,0.07,0.78,0.43,0.83,0.21,0.27,0.91,0.65,0.68,1
264,0.72,0.62,0.2,0.13,0.22,0.99,0.01,0.77,0.06,0.22,0.65,0.27,0.71,0.9,0.36,0.27,0.37,0.48,0.36,0.16,0
265,0.76,0.96,0.58,0.26,0.25,0.71,0.47,0.75,0.66,0.68,0.33,0.28,0.37,0.01,0.53,0.98,0.64,0.54,0.7,0.42,1
266,0.86,0.63,0.29,0.83,0.37,0.45,0.96,0.41,0.84,0.4,0.24,0.47,0.66,0.15,0.93,0.87,0.49,0.54,0.39,0.14,0
267,0.62,0.39,0.39,0.05,0.43,0.16,0.86,0.05,0.08,0.18,0.01,0.39,0.52,0.72,0.98,0.82,0.37,0.07,0.78,0.77,0
268,0.41,0.09,0.63,0.88,0.8,0.61,0.16,0.2,0.43,0.98,0.23,0.06,0.37,0.77,0.86,0.55,0.73,0.52,0.56,0.33,1
269,0.72,0.5,0.96,0.14,0.07,0.92,0.96,0.44,0.5,0.23,0.15,0.27,0.14,0.36,0.15,0.31,0.99,0.19,0.25,0.44,0
270,0.43,0.12,0.48,0.75,0.7,0.63,0.88,0.18,0.18,0.36,0.38,0.66,0.22,0.74,0.28,0.6,0.61,0.59,0.1,0.23,1
271,0.74,0.48,0.39,0.58,0.68,0.04,0.69,0.54,0.08,0.73,0.15,0.37,0.94,0.38,0.07,0.49,0.14,0.44,0.98,0.25,0
272,0.28,0.05,0.17,0.52,0.33,0.85,0.76,0.5,0.8,0.34,0.25,0.38,0.39,0.38,0.06,0.62,0.3,0.41,0.74,0.71,1
273,0.96,0.97,0.65,0.82,0.96,0.43,0.2,0.44,0.11,0.8,0.74,0.03,0.19,0.91,0.5,0.91,0.68,0.92,0.38,0.35,1
274,0.2,0.62,0.24,0.73,0.4,0.49,0.07,0.46,0.62,0.36,0.06,0.99,0.84,0.66,0.5,0.97,0.52,0.99,0.43,0.18,1
275,0.85,0.33,0.74,0.76,0.06,0.02,0.74,0.23,0.69,0.77,0.61,0.18,0.45,0.67,0.81,0.23,0.1,0.39,0.48,0.89,1
276,0.99,0.45,0.05,0.61,0.18,0.37,0.35,0.39,0.85,0.29,0.47,0.99,0.78,0.58,0.57,0.86,0.79,0.08,0.13,0.0,0
277,0.59,0.74,0.32,0.72,0.97,0.99,0.92,0.8,1.0,0.21,0.28,0.16,0.34,0.64,0.72,0.76,0.55,0.88,0.34,0.51,1
278,0.52,0.42,0.62,0.96,0.66,0.64,0.23,0.71,0.03,0.06,0.19,0.71,0.98,0.48,0.08,0.03,0.21,0.18,0.15,0.89,0
279,0.68,0.77,0.55,0.88,0.68,0.47,0.17,0.31,0.7,0.39,0.36,1.0,0.85,0.68,0.16,0.32,0.09,0.56,0.2,0.76,1
280,0.79,0.62,0.17,0.24,0.81,0.9,0.81,0.55,0.04,0.96,0.36,0.3,0.92,0.24,0.16,0.99,0.1,0.14,0.32,0.71,0
281,0.93,0.52,0.55,0.31,0.61,0.72,0.88,0.99,0.7,0.04,0.49,0.92,0.9,0.54,0.84,0.2,0.38,0.71,0.78,0.97,1
282,0.63,0.61,0.93,0.18,0.95,0.83,0.35,0.93,0.75,0.08,0.2,0.62,0.11,0.29,0.0,0.66,0.46,0.24,0.83,0.94,0
283,0.62,0.57,0.77,0.16,0.1,0.14,0.76,0.14,0.44,0.14,0.27,0.11,0.35,0.14,0.44,0.35,0.1,0.99,0.44,0.32,1
284,0.88,0.26,0.14,0.46,0.47,0.16,0.39,0.88,0.87,0.46,0.59,0.27,0.03,0.29,0.52,0.73,0.82,1.0,0.6,0.69,1
285,0.86,0.77,0.41,0.31,0.29,0.97,0.14,0.97,0.27,0.78,0.66,0.69,0.99,0.92,0.94,0.03,0.19,0.07,0.07,0.05,0
286,0.47,0.86,0.53,0.38,0.93,0.19,0.88,0.24,0.35,0.14,0.34,0.81,0.58,0.55,0.64,0.74,0.71,0.19,0.72,0.7,1
287,0.85,0.63,0.04,0.24,0.0,0.0,0.74,0.93,0.93,0.38,0.03,0.98,0.19,0.81,0.74,0.43,0.13,0.47,0.97,0.49,0
288,0.62,0.28,0.41,0.87,0.87,0.87,0.9,0.39,0.01,0.41,0.03,0.34,1.0,0.62,0.11,0.41,0.07,0.95,0.53,0.62,0
289,0.66,0.26,0.71,0.46,0.07,0.15,0.92,0.5,0.93,0.43,0.64,0.5,0.91,0.01,0.88,0.54,0.17,0.06,0.55,0.02,1
290,0.73,0.19,0.08,0.06,0.81,0.3,0.1,0.24,0.49,0.34,0.14,0.53,0.94,0.0,0.25,0.79,0.03,0.08,0.88,0.19,0
291,0.5,0.62,0.21,0.97,0.84,0.03,0.74,0.35,0.83,0.46,0.27,0.85,0.26,0.36,0.93,0.55,0.62,0.63,0.37,0.09,1
292,0.86,0.08,0.36,0.21,0.64,0.2,0.88,0.19,0.41,0.91,0.49,0.3,0.44,0.63,1.0,0.01,0.7,0.73,1.0,0.64,1
293,0.79,0.0,0.96,0.53,0.22,0.36,0.62,0.3,0.82,0.3,0.53,0.93,0.27,0.23,0.66,0.65,0.85,0.25,0.1,0.92,0
294,0.62,0.83,0.27,0.76,0.96,0.64,0.99,0.85,0.66,0.66,0.6,0.97,0.43,0.03,0.15,0.06,0.67,0.31,0.96,0.29,0
295,0.99,0.35,0.28,0.52,0.46,0.75,0.15,0.05,0.11,0.3,0.02,0.76,0.05,0.94,0.08,0.42,0.06,0.14,0.12,0.4,1
296,0.93,0.99,0.82,0.91,0.99,0.74,0.57,0.39,0.41,0.82,0.11,0.84,0.83,0.45,0.85,0.51,0.86,0.05,0.63,0.52,1
297,0.93,0.69,0.61,0.95,0.15,0.28,0.48,0.31,0.83,0.92,0.33,0.7,0.87,0.84,0.94,0.75,0.49,0.49,0.17,0.7,0
298,0.9,0.95,0.25,0.65,0.69,0.12,0.08,0.87,0.65,0.99,0.85,0.93,0.67,0.2,0.56,0.04,0.48,0.05,0.36,0.66,1
299,0.59,0.94,0.88,0.98,0.74,0.74,0.78,0.79,0.17,0.23,0.44,0.92,0.41,0.04,0.65,0.29,0.02,0.99,0.48,0.04,1
300,0.34,0.19,0.18,0.35,0.5,0.99,0.06,0.02,0.72,0.58,0.2,0.07,0.29,0.54,0.84,0.83,0.13,0.57,0.09,0.37,1
301,0.87,0.62,0.06,0.42,0.91,0.18,0.98,0.56,0.43,0.33,0.19,0.58,0.88,0.09,0.02,0.89,0.17,0.31,0.39,0.38,0
302,0.63,0.22,0.78,0.32,0.64,0.66,0.19,0.14,0.7,0.63,0.38,0.42,0.86,0.66,0.15,0.67,0.13,0.83,0.7,0.73,1
303,0.3,0.61,0.09,0.83,0.41,0.72,0.27,0.89,0.39,0.21,0.15,0.09,0.95,0.44,0.14,0.84,0.27,0.69,0.05,0.07,1
304,0.51,0.46,0.66,0.82,0.68,0.82,0.48,0.73,0.44,0.62,0.45,0.9,0.44,0.2,0.0,0.95,0.81,0.3,0.51,0.24,1
305,0.36,0.83,0.06,0.52,0.28,0.65,0.77,0.65,0.47,0.03,0.22,0.71,0.9,0.12,0.49,0.56,0.92,0.56,0.52,0.01,1
306,0.88,0.06,0.42,0.28,0.22,0.87,0.05,0.71,0.37,0.04,0.63,0.61,0.69,0.05,0.93,0.16,0.36,0.06,0.98,0.4,0
307,0.97,0.04,0.99,0.98,0.17,0.04,0.16,0.08,0.94,0.78,0.69,0.54,0.83,0.39,0.91,0.55,0.13,0.46,0.65,0.8,0
308,0.52,0.74,0.45,0.04,0.11,0.5,0.55,0.57,0.34,0.22,0.1,0.0,0.24,0.39,0.58,0.0,0.69,0.16,0.38,0.53,1
309,0.37,0.26,0.63,0.8,0.71,0.17,0.36,0.94,0.83,0.85,0.25,0.42,0.46,0.13,0.79,0.69,0.04,0.31,0.93,0.99,0
310,0.1,0.62,0.22,0.43,0.89,0.95,0.9,0.88,0.69,0.04,0.09,0.85,0.62,0.67,0.96,0.15,0.05,0.0,0.06,0.33,0
311,0.4,0.68,0.4,0.53,0.96,0.99,0.26,0.63,0.05,0.31,0.15,0.77,0.31,0.42,0.28,0.6,0.97,0.62,0.27,0.55,1
312,0.85,0.97,0.46,0.54,0.78,0.79,0.21,0.09,0.91,0.95,0.15,0.51,0.3,0.42,0.89,0.99,0.66,0.11,0.67,0.62,1
313,0.36,0.65,0.73,0.75,0.6,0.18,0.48,0.45,0.08,0.19,0.02,0.56,0.3,1.0,0.93,0.06,0.74,0.54,0.08,0.81,1
314,0.86,0.87,0.2,0.78,0.83,0.44,0.82,0.65,0.96,0.84,0.5,0.24,0.31,0.44,0.89,0.67,0.8,0.52,0.69,0.09,1
315,0.06,0.07,0.19,0.26,0.06,0.38,0.23,0.81,0.85,0.57,0.03,0.93,0.88,0.26,0.14,0.64,0.77,0.12,0.83,0.81,0
316,0.96,0.79,0.79,0.89,0.24,0.0,0.86,0.65,0.48,0.1,0.37,0.71,0.16,0.96,0.45,0.31,0.45,0.69,0.11,0.39,1
317,0.88,0.69,0.88,0.41,0.65,0.89,0.29,0.08,0.85,0.35,0.36,0.19,0.44,0.51,0.57,0.87,0.64,0.77,0.41,0.52,1
318,0.77,0.01,0.9,0.57,0.91,0.24,0.13,0.62,0.65,0.3,0.56,0.42,0.0,0.58,0.69,0.08,0.09,0.8,0.68,0.95,1
319,0.31,0.86,0.77,0.92,0.48,0.73,0.64,0.05,0.23,0.62,0.23,0.05,0.5,0.67,0.98,0.83,0.62,0.91,0.06,0.26,1
320,0.98,0.77,0.28,0.2,0.47,0.84,0.85,0.0,0.36,0.69,0.97,0.22,0.55,0.42,0.06,0.58,0.78,0.72,0.55,0.79,1
321,0.83,0.95,0.72,0.69,0.92,0.95,0.9,0.01,0.6,0.89,0.38,0.64,0.15,0.55,0.48,0.27,0.03,0.45,0.04,0.31,0
322,0.52,0.57,0.95,0.51,0.84,0.65,0.78,0.31,0.94,0.25,0.47,0.33,0.88,0.15,0.41,0.57,0.4,0.6,0.76,0.31,1
323,0.56,0.73,0.96,0.43,0.01,0.86,0.43,0.09,0.57,0.55,0.27,0.29,0.64,0.83,0.63,0.58,0.29,0.94,1.0,0.49,1
324,0.11,0.77,0.09,0.56,0.35,0.04,0.31,0.14,0.29,0.22,0.03,0.86,0.44,0.79,0.97,0.6,0.79,0.51,0.61,0.41,1
325,0.83,0.06,0.25,0.44,0.05,0.55,0.81,0.57,0.11,0.4,0.36,0.1,0.37,0.73,0.9,0.51,0.69,0.1,0.51,0.11,1
326,0.83,0.53,0.45,0.8,0.81,0.22,0.36,0.8,0.74,0.17,0.73,0.75,0.38,0.56,0.47,0.38,0.5,0.38,0.54,0.9,1
327,0.73,0.74,0.28,0.07,0.87,0.01,0.3,0.71,0.68,0.61,0.49,0.48,0.89,0.68,0.7,0.49,0.47,0.37,0.34,0.7,1
328,0.96,0.02,0.6,0.3,0.65,0.75,0.07,0.45,0.5,0.89,0.15,0.43,0.59,0.66,0.65,0.28,0.53,0.34,0.31,0.74,1
